page,name,rate,time,IP,favor,comment
6,Amenemu,4,2024/3/7 21:46,上海,10,除了开头设定太多，后期因为几位主演的演技和不算太离谱的剧情发展还是挺好看的。第一次看檀健次演戏，好伟大的相柳?（
6,吴京直肠倒模,4,2024/2/18 21:33,浙江,14,4星全给清水镇，其他的都是些啥啊.....又拖又纠结，然后请问邓为是在演一根木头吗？
6,柚子,2,2024/1/21 0:58,浙江,23,朋友安利的一定要我看看结果：实在很难看低成本古偶剧看到二十集实在受不了弃了一分钟都不想多浪费时间了
6,goldlya,3,2023/8/25 13:52,湖北,21,下饭剧。这种慢调调的讲故事的方法挺特别的，配乐很细腻，也很熟悉，就很古的感觉，就是有的演员演的不细腻
6,Sù,4,2024/4/4 22:20,江苏,3,选角贴切，演技精湛，制作精良，清水镇原来是耗费数月搭建而成，布景精致入微。一直到兄妹相认，之前的愤懑不满才有所改观，剧情太虐。“喜乐不尽兴，悲忧不尽情”，小夭的人生观深有共情，不忍泪目。但多角恋的纠葛实在不堪如此拖泥带水。热切期待第二季小夭真正站起来！
6,momo,3,2023/9/20 14:55,北京,100,出了清水镇女主就强行降智了，越长大越觉得桐华的书内核虐女
6,大狐狸,4,2023/8/15 3:10,重庆,1,没人会不爱忠犬狗狗！拍得很好，感情渐入佳境。杨紫演技好。后面剧情无聊了点，套路化。三男一女随时修罗场。我爱小狐狸?为小狐狸打五星！！！！！“姐姐”“是你的吻甜”“好”啊啊啊啊啊啊啊简直了好久没这么狂热地实时追剧了梅林戏没拍好?剪辑和配乐的问题。这个时候不加回忆挤观众的眼泪在干啥呢？权谋很弱…其实苍玄做的一切只是要通过爷爷的考验。但他确实适合做国君。张晚意演技好，人也很好。我可怜的小狐狸?我可怜的小夭?相柳也挺可怜…唉。关于这部剧看过很多解说和分析，情感很细腻，人物心理有据可依。弱在情节的推动老套生硬节奏慢。
6,水蜜桃汽水,4,2023/8/27 10:48,湖北,249,该说不说，紫的演技确实可以。
7,达野风,2,2023/9/23 14:19,北京,25,东拉西扯到底讲什么？？？
7,Eliane,3,2023/8/4 17:18,黑龙江,488,如果这个身份不能陪你，那就换个身份来爱你，夭柳我哭死
